running Experiment from ExperimentRunner...

DEMO: CLASSIFICATION: False, REGRESSION: True

DEMO: hyperparams: 
	max_iterations: 10
	batch_size: 100
	eta: 3
	layer_activation_funcs: ['sigmoid', 'sigmoid', 'sigmoid']
	layer_sizes_display: [11, 7, 3, 1]
	use_momentum: True
	momentum_beta: 0.9
	k: 10

DEMO: data_set_name: 	wine

DEMO: raw data: 

        fa     va    ca     rs      c   fsd    tsd        d    pH     s          a  CLASS
0      7.4  0.700  0.00   1.90  0.076  11.0   34.0  0.99780  3.51  0.56   9.400000      5
1      7.8  0.880  0.00   2.60  0.098  25.0   67.0  0.99680  3.20  0.68   9.800000      5
2      7.8  0.760  0.04   2.30  0.092  15.0   54.0  0.99700  3.26  0.65   9.800000      5
3     11.2  0.280  0.56   1.90  0.075  17.0   60.0  0.99800  3.16  0.58   9.800000      6
4      7.4  0.700  0.00   1.90  0.076  11.0   34.0  0.99780  3.51  0.56   9.400000      5
5      7.4  0.660  0.00   1.80  0.075  13.0   40.0  0.99780  3.51  0.56   9.400000      5
6      7.9  0.600  0.06   1.60  0.069  15.0   59.0  0.99640  3.30  0.46   9.400000      5
7      7.3  0.650  0.00   1.20  0.065  15.0   21.0  0.99460  3.39  0.47  10.000000      7
8      7.8  0.580  0.02   2.00  0.073   9.0   18.0  0.99680  3.36  0.57   9.500000      7
9      7.5  0.500  0.36   6.10  0.071  17.0  102.0  0.99780  3.35  0.80  10.500000      5
10     6.7  0.580  0.08   1.80  0.097  15.0   65.0  0.99590  3.28  0.54   9.200000      5
11     7.5  0.500  0.36   6.10  0.071  17.0  102.0  0.99780  3.35  0.80  10.500000      5
12     5.6  0.615  0.00   1.60  0.089  16.0   59.0  0.99430  3.58  0.52   9.900000      5
13     7.8  0.610  0.29   1.60  0.114   9.0   29.0  0.99740  3.26  1.56   9.100000      5
14     8.9  0.620  0.18   3.80  0.176  52.0  145.0  0.99860  3.16  0.88   9.200000      5
15     8.9  0.620  0.19   3.90  0.170  51.0  148.0  0.99860  3.17  0.93   9.200000      5
16     8.5  0.280  0.56   1.80  0.092  35.0  103.0  0.99690  3.30  0.75  10.500000      7
17     8.1  0.560  0.28   1.70  0.368  16.0   56.0  0.99680  3.11  1.28   9.300000      5
18     7.4  0.590  0.08   4.40  0.086   6.0   29.0  0.99740  3.38  0.50   9.000000      4
19     7.9  0.320  0.51   1.80  0.341  17.0   56.0  0.99690  3.04  1.08   9.200000      6
20     8.9  0.220  0.48   1.80  0.077  29.0   60.0  0.99680  3.39  0.53   9.400000      6
21     7.6  0.390  0.31   2.30  0.082  23.0   71.0  0.99820  3.52  0.65   9.700000      5
22     7.9  0.430  0.21   1.60  0.106  10.0   37.0  0.99660  3.17  0.91   9.500000      5
23     8.5  0.490  0.11   2.30  0.084   9.0   67.0  0.99680  3.17  0.53   9.400000      5
24     6.9  0.400  0.14   2.40  0.085  21.0   40.0  0.99680  3.43  0.63   9.700000      6
25     6.3  0.390  0.16   1.40  0.080  11.0   23.0  0.99550  3.34  0.56   9.300000      5
26     7.6  0.410  0.24   1.80  0.080   4.0   11.0  0.99620  3.28  0.59   9.500000      5
27     7.9  0.430  0.21   1.60  0.106  10.0   37.0  0.99660  3.17  0.91   9.500000      5
28     7.1  0.710  0.00   1.90  0.080  14.0   35.0  0.99720  3.47  0.55   9.400000      5
29     7.8  0.645  0.00   2.00  0.082   8.0   16.0  0.99640  3.38  0.59   9.800000      6
...    ...    ...   ...    ...    ...   ...    ...      ...   ...   ...        ...    ...
6467   5.8  0.230  0.31   4.50  0.046  42.0  124.0  0.99324  3.31  0.64  10.800000      6
6468   6.6  0.240  0.33  10.10  0.032   8.0   81.0  0.99626  3.19  0.51   9.800000      6
6469   6.1  0.320  0.28   6.60  0.021  29.0  132.0  0.99188  3.15  0.36  11.450000      7
6470   5.0  0.200  0.40   1.90  0.015  20.0   98.0  0.98970  3.37  0.55  12.050000      6
6471   6.0  0.420  0.41  12.40  0.032  50.0  179.0  0.99622  3.14  0.60   9.700000      5
6472   5.7  0.210  0.32   1.60  0.030  33.0  122.0  0.99044  3.33  0.52  11.900000      6
6473   5.6  0.200  0.36   2.50  0.048  16.0  125.0  0.99282  3.49  0.49  10.000000      6
6474   7.4  0.220  0.26   1.20  0.035  18.0   97.0  0.99245  3.12  0.41   9.700000      6
6475   6.2  0.380  0.42   2.50  0.038  34.0  117.0  0.99132  3.36  0.59  11.600000      7
6476   5.9  0.540  0.00   0.80  0.032  12.0   82.0  0.99286  3.25  0.36   8.800000      5
6477   6.2  0.530  0.02   0.90  0.035   6.0   81.0  0.99234  3.24  0.35   9.500000      4
6478   6.6  0.340  0.40   8.10  0.046  68.0  170.0  0.99494  3.15  0.50   9.533333      6
6479   6.6  0.340  0.40   8.10  0.046  68.0  170.0  0.99494  3.15  0.50   9.533333      6
6480   5.0  0.235  0.27  11.75  0.030  34.0  118.0  0.99540  3.07  0.50   9.400000      6
6481   5.5  0.320  0.13   1.30  0.037  45.0  156.0  0.99184  3.26  0.38  10.700000      5
6482   4.9  0.470  0.17   1.90  0.035  60.0  148.0  0.98964  3.27  0.35  11.500000      6
6483   6.5  0.330  0.38   8.30  0.048  68.0  174.0  0.99492  3.14  0.50   9.600000      5
6484   6.6  0.340  0.40   8.10  0.046  68.0  170.0  0.99494  3.15  0.50   9.550000      6
6485   6.2  0.210  0.28   5.70  0.028  45.0  121.0  0.99168  3.21  1.08  12.150000      7
6486   6.2  0.410  0.22   1.90  0.023   5.0   56.0  0.98928  3.04  0.79  13.000000      7
6487   6.8  0.220  0.36   1.20  0.052  38.0  127.0  0.99330  3.04  0.54   9.200000      5
6488   4.9  0.235  0.27  11.75  0.030  34.0  118.0  0.99540  3.07  0.50   9.400000      6
6489   6.1  0.340  0.29   2.20  0.036  25.0  100.0  0.98938  3.06  0.44  11.800000      6
6490   5.7  0.210  0.32   0.90  0.038  38.0  121.0  0.99074  3.24  0.46  10.600000      6
